timestamp;eventTime;date;hour;service;requests;unique_events;cost
2018-11-01 00:00:00;2018-11-01 00:00:00;2018-11-01;0;lambda;56;3;0.00022400
2018-11-01 00:00:00;2018-11-01 00:00:00;2018-11-01;0;logs;76;2;0.00030400
2018-11-01 00:00:00;2018-11-01 00:00:00;2018-11-01;0;rds;17;1;0.00006800
2018-11-01 00:00:00;2018-11-01 00:00:00;2018-11-01;0;s3;323;15;0.00129200
2018-11-01 00:00:00;2018-11-01 00:00:00;2018-11-01;0;sns;17;1;0.00006800
2018-11-01 00:00:00;2018-11-01 00:00:00;2018-11-01;0;sqs;2;1;0.00000800
2018-11-01 00:00:00;2018-11-01 00:00:00;2018-11-01;0;sts;1076;2;0.00430400
2018-11-01 00:00:00;2018-11-01 00:00:00;2018-11-01;0;unknown;482;152;0.00192800
2018-12-01 00:00:00;2018-12-01 00:00:00;2018-12-01;0;cloudtrail;175;2;0.00070000
2018-12-01 00:00:00;2018-12-01 00:00:00;2018-12-01;0;ec2;5060;144;0.02024000
2018-12-01 00:00:00;2018-12-01 00:00:00;2018-12-01;0;elb;344;1;0.00137600
2018-12-01 00:00:00;2018-12-01 00:00:00;2018-12-01;0;iam;615;19;0.00246000
2018-12-01 00:00:00;2018-12-01 00:00:00;2018-12-01;0;lambda;174;2;0.00069600
2018-12-01 00:00:00;2018-12-01 00:00:00;2018-12-01;0;logs;79;2;0.00031600
2018-12-01 00:00:00;2018-12-01 00:00:00;2018-12-01;0;rds;156;1;0.00062400
2018-12-01 00:00:00;2018-12-01 00:00:00;2018-12-01;0;s3;792;9;0.00316800
2018-12-01 00:00:00;2018-12-01 00:00:00;2018-12-01;0;sns;109;1;0.00043600
2018-12-01 00:00:00;2018-12-01 00:00:00;2018-12-01;0;sqs;2;1;0.00000800
2018-12-01 00:00:00;2018-12-01 00:00:00;2018-12-01;0;sts;2301;2;0.00920400
2018-12-01 00:00:00;2018-12-01 00:00:00;2018-12-01;0;unknown;1123;159;0.00449200
2019-01-01 00:00:00;2019-01-01 00:00:00;2019-01-01;0;cloudtrail;106;2;0.00042400
2019-01-01 00:00:00;2019-01-01 00:00:00;2019-01-01;0;ec2;4338;156;0.01735200
2019-01-01 00:00:00;2019-01-01 00:00:00;2019-01-01;0;elb;167;1;0.00066800
2019-01-01 00:00:00;2019-01-01 00:00:00;2019-01-01;0;iam;451;16;0.00180400
2019-01-01 00:00:00;2019-01-01 00:00:00;2019-01-01;0;lambda;138;3;0.00055200
2019-01-01 00:00:00;2019-01-01 00:00:00;2019-01-01;0;logs;58;1;0.00023200
2019-01-01 00:00:00;2019-01-01 00:00:00;2019-01-01;0;rds;111;1;0.00044400
2019-01-01 00:00:00;2019-01-01 00:00:00;2019-01-01;0;s3;976;17;0.00390400
